Time,Quadrant Number,Ball Colour,Type
1.4333333333333333,4,Color_4,Entry
1.4333333333333333,4,Color_1,Exit
1.4333333333333333,4,Color_2,Exit
1.4333333333333333,2,Color_3,Exit
1.4333333333333333,3,Color_4,Exit
1.5,4,Color_2,Entry
1.5,3,Color_4,Entry
1.5,3,Color_2,Exit
1.5,4,Color_4,Exit
1.5666666666666667,3,Color_1,Entry
1.5666666666666667,2,Color_2,Entry
1.5666666666666667,4,Color_4,Entry
1.5666666666666667,2,Color_1,Exit
1.5666666666666667,4,Color_2,Exit
1.5666666666666667,3,Color_4,Exit
1.6,2,Color_1,Entry
1.6,4,Color_2,Entry
1.6,3,Color_4,Entry
1.6,3,Color_1,Exit
1.6,2,Color_2,Exit
1.6,4,Color_4,Exit
1.6333333333333333,4,Color_1,Entry
1.6333333333333333,2,Color_2,Entry
1.6333333333333333,3,Color_3,Entry
1.6333333333333333,4,Color_4,Entry
1.6333333333333333,2,Color_1,Exit
1.6333333333333333,4,Color_2,Exit
1.6333333333333333,4,Color_3,Exit
1.6333333333333333,3,Color_4,Exit
1.6666666666666667,3,Color_1,Entry
1.6666666666666667,4,Color_2,Entry
1.6666666666666667,2,Color_3,Entry
1.6666666666666667,4,Color_1,Exit
1.6666666666666667,2,Color_2,Exit
1.6666666666666667,3,Color_3,Exit
1.7,3,Color_3,Entry
1.7,2,Color_3,Exit
1.7333333333333334,4,Color_1,Entry
1.7333333333333334,2,Color_3,Entry
1.7333333333333334,3,Color_4,Entry
1.7333333333333334,3,Color_1,Exit
1.7333333333333334,3,Color_3,Exit
1.7333333333333334,4,Color_4,Exit
1.7666666666666666,2,Color_1,Entry
1.7666666666666666,4,Color_3,Entry
1.7666666666666666,4,Color_1,Exit
1.7666666666666666,2,Color_3,Exit
1.8333333333333333,3,Color_1,Entry
1.8333333333333333,2,Color_4,Entry
1.8333333333333333,2,Color_1,Exit
1.8333333333333333,3,Color_4,Exit
1.8666666666666667,4,Color_1,Entry
1.8666666666666667,3,Color_3,Entry
1.8666666666666667,3,Color_4,Entry
1.8666666666666667,3,Color_1,Exit
1.8666666666666667,4,Color_3,Exit
1.8666666666666667,2,Color_4,Exit
1.9,3,Color_1,Entry
1.9,4,Color_3,Entry
1.9,2,Color_4,Entry
1.9,4,Color_1,Exit
1.9,3,Color_3,Exit
1.9,3,Color_4,Exit
1.9333333333333333,4,Color_1,Entry
1.9333333333333333,2,Color_3,Entry
1.9333333333333333,3,Color_4,Entry
1.9333333333333333,3,Color_1,Exit
1.9333333333333333,4,Color_3,Exit
1.9333333333333333,2,Color_4,Exit
1.9666666666666666,3,Color_1,Entry
1.9666666666666666,2,Color_2,Entry
1.9666666666666666,4,Color_3,Entry
1.9666666666666666,4,Color_4,Entry
1.9666666666666666,4,Color_1,Exit
1.9666666666666666,4,Color_2,Exit
1.9666666666666666,2,Color_3,Exit
1.9666666666666666,3,Color_4,Exit
2.0,4,Color_1,Entry
2.0,3,Color_2,Entry
2.0,2,Color_4,Entry
2.0,3,Color_1,Exit
2.0,2,Color_2,Exit
2.0,4,Color_4,Exit
2.033333333333333,3,Color_3,Entry
2.033333333333333,3,Color_4,Entry
2.033333333333333,4,Color_3,Exit
2.033333333333333,2,Color_4,Exit
2.066666666666667,1,Color_2,Entry
2.066666666666667,2,Color_3,Entry
2.066666666666667,4,Color_4,Entry
2.066666666666667,3,Color_2,Exit
2.066666666666667,3,Color_3,Exit
2.066666666666667,3,Color_4,Exit
2.1,3,Color_2,Entry
2.1,1,Color_4,Entry
2.1,1,Color_2,Exit
2.1,4,Color_4,Exit
